AAA25053.1,AAA72077.1
AAA25053.1,AAB39956.1
AAA25053.1,AAB59737.1
AAA25053.1,AAC05975.1
AAA25053.1,AAC32889.2
AAA25053.1,AAC32891.1
AAA25053.1,AAC72362.1
AAA25053.1,AAD22538.1
AAA25053.1,AAD22539.1
AAA25053.1,AAD33116.2
AAA25053.1,AAF01046.1
AAA25053.1,AAF05611.1
AAA25053.1,AAF05612.1
AAA25053.1,AAF05613.1
AAA25053.1,AAF05614.1
AAA25053.1,AAF19151.1
AAA25053.1,KLG19745.1
AAA25053.1,AAF66653.1
AAA25053.1,CTD69961.1
AAA25053.1,AAG44570.1
AAA25053.1,AAK14792.1
AAA25053.1,AAK17194.1
AAA25053.1,AAK30619.1
AAA25053.1,AAK85243.1
AAA25053.1,AAK85244.1
AAA25053.1,AAK85245.1
AAA25053.1,CDR98216.1
AAA25053.1,AAL03985.1
AAA25053.1,AAL29433.1
AAA25053.1,AAL29434.1
AAA25053.1,AAL29435.1
AAA25053.1,AAL29436.1
AAA25053.1,AAL68923.1
AAA25053.1,AAL77062.1
AAA25053.1,CDN33426.1
AAA25053.1,CCA61905.1
AAA25053.1,AAM15527.1
AAA25053.1,AAM18924.1
AAA25053.1,AAM22276.1
AAA25053.1,AAM28884.1
AAA25053.1,AAM52207.1
AAA25053.1,AAM52215.1
AAA25053.1,AAM61952.1
AAA25053.1,AAM61953.1
AAA25053.1,AAN04881.1
AAA25053.1,AAO85882.1
AAA25053.1,CBX53726.1
AAA25053.1,CBJ06718.1
AAA25053.1,CAQ00120.1
AAA25053.1,AAQ01671.1
AAA25053.1,AAQ93490.1
AAA25053.1,AAQ93491.1
AAA25053.1,AAQ98890.1
AAA25053.1,AAR10958.1
AAA25053.1,AAR84298.1
AAA25053.1,AAR89358.1
AAA25053.1,AAR89359.1
AAA25053.1,CAO98721.1
AAA25053.1,AAS19171.1
AAA25053.1,AAS79107.1
AAA25053.1,AAS89982.1
AAA25053.1,AAS89983.1
AAA25053.1,AAS89984.1
AAA25053.1,AAT45742.1
AAA25053.1,AAT46413.1
AAA25053.1,AAT46414.1
AAA25053.1,CAL08007.1
AAA25053.1,AAV83795.1
AAA25053.1,CAJ32372.1
AAA25053.1,AAW47922.1
AAA25053.1,AAW66604.1
AAA25053.1,CAJ17558.1
AAA25053.1,CAG34105.1
AAA25053.1,AAY85632.1
AAA25053.1,AAZ14083.2
AAA25053.1,AAZ14084.2
AAA25053.1,AAZ23494.1
AAA25053.1,CAG25427.1
AAA25053.1,CAD24670.1
AAA25053.1,CAC85661.1
AAA25053.1,ABB84515.1
AAA25053.1,ABB97007.1
AAA25053.1,CAC85660.1
AAA25053.1,ABC96711.1
AAA25053.1,ABD60314.1
AAA25053.1,ABG77582.1
AAA25053.1,CAC67290.1
AAA25053.1,ABI74447.1
AAA25053.1,ABI74448.1
AAA25053.1,ABI81768.1
AAA25053.1,ABM54869.1
AAA25053.1,CAC43230.1
AAA25053.1,ABM54870.1
AAA25053.1,CAC43229.1
AAA25053.1,CAB92324.1
AAA25053.1,CAA76796.1
AAA25053.1,CAA76795.1
AAA25053.1,CAA76794.1
AAA25053.1,CAA76793.1
AAA25053.1,CAA74912.2
AAA25053.1,CAA73933.1
AAA25053.1,CAA71324.1
AAA25053.1,CAA71323.1
AAA25053.1,CAA71322.1
AAA25053.1,CAA65888.1
AAA25053.1,CAA64682.1
AAA25053.1,ABQ00181.1
AAA25053.1,CAA46346.1
AAA25053.1,CAA46345.1
AAA25053.1,CAA46344.1
AAA25053.1,CAA45828.1
AAA25053.1,CAA41038.1
AAA25053.1,CAA38429.1
AAA25053.1,BAL68178.1
AAA25053.1,ABX71157.1
AAA25053.1,BAB16308.1
AAA25053.1,ACF32746.1
AAA25053.1,ACI25375.1
AAA25053.1,ACJ04051.1
AAA25053.1,ACJ43254.1
AAA25053.1,ACO07310.1
AAA25053.1,AMD11804.1
AAA25053.1,ACP18864.1
AAA25053.1,ACR22829.1
AAA25053.1,AKA60778.1
AAA25053.1,AJO16045.1
AAA25053.1,ADA79630.1
AAA25053.1,ADB90239.1
AAA25053.1,ADL13944.1
AAA25053.1,ADM61585.1
AAA25053.1,ADP20705.1
AAA25053.1,ADR71220.1
AAA25053.1,AJO16044.1
AAA25053.1,AEG64812.1
AAA25053.1,AIW68620.1
AAA25053.1,AEK48085.1
AAA25053.1,AEL17198.1
AAA25053.1,AIS39742.1
AAA25053.1,AEL79515.1
AAA25053.1,AEL88240.1
AAA25053.1,AET99222.1
AAA25053.1,AIF78090.1
AAA25053.1,AFC75523.1
AAA25053.1,AFC75524.1
